latitude,longitude,date,event
17.18212,105.21426,8/21/1969 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop ONTGT/NO BDA Total Bombs = 2
17.17908,106.14165,8/28/1969 0:00:00,1000 LB GPB M-65 A-1 Area/Depot ONTGT/NO BDA Total Bombs = 19
17.2038,106.14331,10/25/1969 0:00:00,1000 LB Delay GPB Motor Vehicle Heavy/MOD Total Bombs = 1
17.2599,106.14748,11/14/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site Secondary Fire Total Bombs = 4
17.2599,106.14748,11/14/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site Secondary Fire Total Bombs = 8
17.20158,106.16276,11/15/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site   Total Bombs = 873
17.24324,106.0711,11/15/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site   Total Bombs = 28
17.24324,106.0711,11/17/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site   Total Bombs = 33
17.22102,106.0711,11/17/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site   Total Bombs = 1
17.55154,105.7128,11/19/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site ONTGT/NO BDA Total Bombs = 180
17.60154,105.74613,11/28/1969 0:00:00,1000 LB General Purpose Bomb - High Drag AA/AAA Site ONTGT/NO BDA Total Bombs = 274
17.58182,105.51283,12/1/1969 0:00:00,1000 LB General Purpose Bomb - High Drag Motor Vehicle Destroyed Total Bombs = 4
17.26839,105.80814,3/12/1970 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop SEC Explose Total Bombs = 72
17.53487,105.29619,10/1/1965 0:00:00,1000 LB  Bomb MK-83 Motor Vehicle Destroyed Total Bombs = 12
17.50154,105.31285,10/10/1965 0:00:00,1000 LB  Bomb MK-83 Bridge Cratered Total Bombs = 38
17.55153,105.24619,10/15/1965 0:00:00,1000 LB  Bomb MK-83 Motor Vehicle Unobserved Total Bombs = 49
17.58487,105.72946,10/15/1965 0:00:00,1000 LB  Bomb MK-83 Road Cratered Total Bombs = 533
17.70153,105.74613,10/19/1965 0:00:00,1000 LB  Bomb MK-83 Road Unobserved Total Bombs = 53
17.75151,105.12953,10/22/1965 0:00:00,1000 LB  Bomb MK-83 Bridge Heavy/MOD Total Bombs = 1033
